time,open,high,low,close,volume
1779522933,0.0,0.0,0.0,0,0.5
1779579124,0.0,0.0,0.0,0,0.5
1779579534,0.0,0.0,0.0,0,0.5
1779586441,0.0,0.0,0.0,0,0.5
1779601580,0.0,0.0,0.0,0,0.5
1779610298,0.0,0.0,0.0,0,0.5
1779617232,0.0,0.0,0.0,0,0.5
1779622846,0.0,0.0,0.0,0,0.5
1779626716,0.0,0.0,0.0,0,0.5
1779631926,0.0,0.0,0.0,0,0.5
1779636048,0.0,0.0,0.0,0,0.5
1779640307,0.0,0.0,0.0,0,0.5
1779644325,0.0,0.0,0.0,0,0.5
1779648344,0.0,0.0,0.0,0,0.5
1779652289,0.0,0.0,0.0,0,0.5
1779655261,0.0,0.0,0.0,0,0.5
1779658646,0.0,0.0,0.0,0,0.5
1779662330,0.0,0.0,0.0,0,0.5
1779666092,0.0,0.0,0.0,0,0.5
1779673051,0.0,0.0,0.0,0,0.5
1779689370,0.0,0.0,0.0,0,0.5
1779705979,0.0,0.0,0.0,0,0.5
1779717270,0.0,0.0,0.0,0,0.5
1779725636,0.0,0.0,0.0,0,0.5
1779731757,0.0,0.0,0.0,0,0.5
1779736264,0.0,0.0,0.0,0,0.5
1779741732,0.0,0.0,0.0,0,0.5
1779745807,0.0,0.0,0.0,0,0.5
1779749306,0.0,0.0,0.0,0,0.5
1779753260,0.0,0.0,0.0,0,0.5
1779760183,0.0,0.0,0.0,0,0.5
1779774939,0.0,0.0,0.0,0,0.5
1779786072,0.0,0.0,0.0,0,0.5
1779812111,0.0,0.0,0.0,0,0.5
1779820671,0.0,0.0,0.0,0,0.5
1779827670,0.0,0.0,0.0,0,0.5
1779833457,0.0,0.0,0.0,0,0.5
1779837745,0.0,0.0,0.0,0,0.5
1779845527,0.0,0.0,0.0,0,0.5
1779861704,0.0,0.0,0.0,0,0.5
1779877111,0.0,0.0,0.0,0,0.5
1779890160,0.0,0.0,0.0,0,0.5
1779901029,0.0,0.0,0.0,0,0.5
1779909436,0.0,0.0,0.0,0,0.5
1779916669,0.0,0.0,0.0,0,0.5
1779922506,0.0,0.0,0.0,0,0.5
1779926023,0.0,0.0,0.0,0,0.5
1779931772,0.0,0.0,0.0,0,0.5
1779947193,0.0,0.0,0.0,0,0.5
1779961130,0.0,0.0,0.0,0,0.5
1779972865,0.0,0.0,0.0,0,0.5
1779986792,0.0,0.0,0.0,0,0.5
1779996676,0.0,0.0,0.0,0,0.5
1780004100,0.0,0.0,0.0,0,0.5
1780009290,0.0,0.0,0.0,0,0.5
1780013965,0.0,0.0,0.0,0,0.5
1780030250,0.0,0.0,0.0,0,0.5
1780043773,0.0,0.0,0.0,0,0.5
1780055678,0.0,0.0,0.0,0,0.5
1780065100,0.0,0.0,0.0,0,0.5
1780077372,0.0,0.0,0.0,0,0.5
1780084994,0.0,0.0,0.0,0,0.5
1780092238,0.0,0.0,0.0,0,0.5
1780098078,0.0,0.0,0.0,0,0.5
1780104638,0.0,0.0,0.0,0,0.5
1780117856,0.0,0.0,0.0,0,0.5
1780127441,0.0,0.0,0.0,0,0.5
1780134475,0.0,0.0,0.0,0,0.5
1780139367,0.0,0.0,0.0,0,0.5
1780143292,0.0,0.0,0.0,0,0.5
1780149893,0.0,0.0,0.0,0,0.5
1780154576,0.0,0.0,0.0,0,0.5
1780158768,0.0,0.0,0.0,0,0.5
1780163000,0.0,0.0,0.0,0,0.5
1780166815,0.0,0.0,0.0,0,0.5
1780171254,0.0,0.0,0.0,0,0.5
1780174651,0.0,0.0,0.0,0,0.5
1780177971,0.0,0.0,0.0,0,0.5
1780181060,0.0,0.0,0.0,0,0.5
1780184568,0.0,0.0,0.0,0,0.5
