time,open,high,low,close,volume
1779522933,0.0,0.0,0.0,0,0.5
1779579124,0.0,0.0,0.0,0,0.5
1779579534,0.0,0.0,0.0,0,0.5
1779586441,0.0,0.0,0.0,0,0.5
1779601600,0.0,0.0,0.0,0,0.5
1779610318,0.0,0.0,0.0,0,0.5
1779617252,0.0,0.0,0.0,0,0.5
1779622866,0.0,0.0,0.0,0,0.5
1779626736,0.0,0.0,0.0,0,0.5
1779631946,0.0,0.0,0.0,0,0.5
1779636068,0.0,0.0,0.0,0,0.5
1779640327,0.0,0.0,0.0,0,0.5
1779644345,0.0,0.0,0.0,0,0.5
1779648364,0.0,0.0,0.0,0,0.5
1779652309,0.0,0.0,0.0,0,0.5
1779655281,0.0,0.0,0.0,0,0.5
1779658666,0.0,0.0,0.0,0,0.5
1779662350,0.0,0.0,0.0,0,0.5
1779666112,0.0,0.0,0.0,0,0.5
1779673071,0.0,0.0,0.0,0,0.5
1779689390,0.0,0.0,0.0,0,0.5
1779705999,0.0,0.0,0.0,0,0.5
1779717290,0.0,0.0,0.0,0,0.5
1779725656,0.0,0.0,0.0,0,0.5
1779731778,0.0,0.0,0.0,0,0.5
1779736284,0.0,0.0,0.0,0,0.5
1779741752,0.0,0.0,0.0,0,0.5
1779745827,0.0,0.0,0.0,0,0.5
1779749326,0.0,0.0,0.0,0,0.5
1779753280,0.0,0.0,0.0,0,0.5
1779760203,0.0,0.0,0.0,0,0.5
1779774959,0.0,0.0,0.0,0,0.5
1779786092,0.0,0.0,0.0,0,0.5
1779812131,0.0,0.0,0.0,0,0.5
1779820691,0.0,0.0,0.0,0,0.5
1779827690,0.0,0.0,0.0,0,0.5
1779833477,0.0,0.0,0.0,0,0.5
1779837765,0.0,0.0,0.0,0,0.5
1779845547,0.0,0.0,0.0,0,0.5
1779861724,0.0,0.0,0.0,0,0.5
1779877131,0.0,0.0,0.0,0,0.5
1779890180,0.0,0.0,0.0,0,0.5
1779901049,0.0,0.0,0.0,0,0.5
1779909456,0.0,0.0,0.0,0,0.5
1779916689,0.0,0.0,0.0,0,0.5
1779922526,0.0,0.0,0.0,0,0.5
1779926043,0.0,0.0,0.0,0,0.5
1779931792,0.0,0.0,0.0,0,0.5
1779947213,0.0,0.0,0.0,0,0.5
1779961150,0.0,0.0,0.0,0,0.5
1779972885,0.0,0.0,0.0,0,0.5
1779986812,0.0,0.0,0.0,0,0.5
1779996696,0.0,0.0,0.0,0,0.5
1780004120,0.0,0.0,0.0,0,0.5
1780009310,0.0,0.0,0.0,0,0.5
1780013985,0.0,0.0,0.0,0,0.5
1780030270,0.0,0.0,0.0,0,0.5
1780043793,0.0,0.0,0.0,0,0.5
1780055698,0.0,0.0,0.0,0,0.5
1780065120,0.0,0.0,0.0,0,0.5
1780077392,0.0,0.0,0.0,0,0.5
1780085014,0.0,0.0,0.0,0,0.5
1780092258,0.0,0.0,0.0,0,0.5
1780098098,0.0,0.0,0.0,0,0.5
1780104658,0.0,0.0,0.0,0,0.5
1780117877,0.0,0.0,0.0,0,0.5
1780127461,0.0,0.0,0.0,0,0.5
1780134496,0.0,0.0,0.0,0,0.5
1780139387,0.0,0.0,0.0,0,0.5
1780143312,0.0,0.0,0.0,0,0.5
1780149913,0.0,0.0,0.0,0,0.5
1780154596,0.0,0.0,0.0,0,0.5
1780158788,0.0,0.0,0.0,0,0.5
1780163020,0.0,0.0,0.0,0,0.5
1780166835,0.0,0.0,0.0,0,0.5
1780171274,0.0,0.0,0.0,0,0.5
1780174671,0.0,0.0,0.0,0,0.5
1780177991,0.0,0.0,0.0,0,0.5
1780181080,0.0,0.0,0.0,0,0.5
1780184588,0.0,0.0,0.0,0,0.5
1780192332,0.0,0.0,0.0,0,0.5
1780207604,0.0,0.0,0.0,0,0.5
1780219384,0.0,0.0,0.0,0,0.5
1780226011,0.0,0.0,0.0,0,0.5
1780230058,0.0,0.0,0.0,0,0.5
1780237001,0.0,0.0,0.0,0,0.5
1780242311,0.0,0.0,0.0,0,0.5
1780246014,0.0,0.0,0.0,0,0.5
1780249897,0.0,0.0,0.0,0,0.5
1780253909,0.0,0.0,0.0,0,0.5
1780257752,0.0,0.0,0.0,0,0.5
1780262116,0.0,0.0,0.0,0,0.5
1780265677,0.0,0.0,0.0,0,0.5
1780269498,0.0,0.0,0.0,0,0.5
1780277873,0.0,0.0,0.0,0,0.5
1780295598,0.0,0.0,0.0,0,0.5
1780316531,0.0,0.0,0.0,0,0.5
1780338094,0.0,0.0,0.0,0,0.5
1780350447,0.0,0.0,0.0,0,0.5
1780356048,0.0,0.0,0.0,0,0.5
1780364590,0.0,0.0,0.0,0,0.5
1780381278,0.0,0.0,0.0,0,0.5
1780398058,0.0,0.0,0.0,0,0.5
1780412029,0.0,0.0,0.0,0,0.5
1780424955,0.0,0.0,0.0,0,0.5
1780435829,0.0,0.0,0.0,0,0.5
1780442170,0.0,0.0,0.0,0,0.5
1780451288,0.0,0.0,0.0,0,0.5
1780468925,0.0,0.0,0.0,0,0.5
1780486320,0.0,0.0,0.0,0,0.5
1780502753,0.0,0.0,0.0,0,0.5
1780516678,0.0,0.0,0.0,0,0.5
1780525501,0.0,0.0,0.0,0,0.5
1780531823,0.0,0.0,0.0,0,0.5
1780549403,0.0,0.0,0.0,0,0.5
1780563595,0.0,0.0,0.0,0,0.5
1780573836,0.0,0.0,0.0,0,0.5
1780583124,0.0,0.0,0.0,0,0.5
1780594195,0.0,0.0,0.0,0,0.5
1780601807,0.0,0.0,0.0,0,0.5
1780607871,0.0,0.0,0.0,0,0.5
1780613475,0.0,0.0,0.0,0,0.5
1780617518,0.0,0.0,0.0,0,0.5
1780627371,0.0,0.0,0.0,0,0.5
1780642361,0.0,0.0,0.0,0,0.5
1780655982,0.0,0.0,0.0,0,0.5
1780666896,0.0,0.0,0.0,0,0.5
1780676250,0.0,0.0,0.0,0,0.5
1780683560,0.0,0.0,0.0,0,0.5
1780690850,0.0,0.0,0.0,0,0.5
1780696345,0.0,0.0,0.0,0,0.5
1780700063,0.0,0.0,0.0,0,0.5
1780703821,0.0,0.0,0.0,0,0.5
1780711037,0.0,0.0,0.0,0,0.5
1780724801,0.0,0.0,0.0,0,0.5
1780733978,0.0,0.0,0.0,0,0.5
1780741704,0.0,0.0,0.0,0,0.5
1780746720,0.0,0.0,0.0,0,0.5
1780750860,0.0,0.0,0.0,0,0.5
1780756938,0.0,0.0,0.0,0,0.5
1780761379,0.0,0.0,0.0,0,0.5
1780764952,0.0,0.0,0.0,0,0.5
1780768754,0.0,0.0,0.0,0,0.5
1780773159,0.0,0.0,0.0,0,0.5
1780777305,0.0,0.0,0.0,0,0.5
1780781664,0.0,0.0,0.0,0,0.5
1780785768,0.0,0.0,0.0,0,0.5
1780789378,0.0,0.0,0.0,0,0.5
1780797293,0.0,0.0,0.0,0,0.5
1780812675,0.0,0.0,0.0,0,0.5
1780824833,0.0,0.0,0.0,0,0.5
1780831507,0.0,0.0,0.0,0,0.5
1780836949,0.0,0.0,0.0,0,0.5
1780843526,0.0,0.0,0.0,0,0.5
1780847947,0.0,0.0,0.0,0,0.5
1780852197,0.0,0.0,0.0,0,0.5
1780856314,0.0,0.0,0.0,0,0.5
1780861979,0.0,0.0,0.0,0,0.5
1780865867,0.0,0.0,0.0,0,0.5
1780869545,0.0,0.0,0.0,0,0.5
1780873190,0.0,0.0,0.0,0,0.5
1780877061,0.0,0.0,0.0,0,0.5
1780894812,0.0,0.0,0.0,0,0.5
1780910540,0.0,0.0,0.0,0,0.5
1780926583,0.0,0.0,0.0,0,0.5
1780938073,0.0,0.0,0.0,0,0.5
1780946563,0.0,0.0,0.0,0,0.5
1780953631,0.0,0.0,0.0,0,0.5
1780959248,0.0,0.0,0.0,0,0.5
1780963007,0.0,0.0,0.0,0,0.5
1780969873,0.0,0.0,0.0,0,0.5
1780984621,0.0,0.0,0.0,0,0.5
1780995428,0.0,0.0,0.0,0,0.5
1781005994,0.0,0.0,0.0,0,0.5
1781014388,0.0,0.0,0.0,0,0.5
1781023608,0.0,0.0,0.0,0,0.5
1781031972,0.0,0.0,0.0,0,0.5
1781039275,0.0,0.0,0.0,0,0.5
1781045231,0.0,0.0,0.0,0,0.5
1781049827,0.0,0.0,0.0,0,0.5
1781066679,0.0,0.0,0.0,0,0.5
