time,open,high,low,close,volume
1779522933,0.0,0.0,0.0,0,0.5
1779579124,0.0,0.0,0.0,0,0.5
1779579534,0.0,0.0,0.0,0,0.5
1779586441,0.0,0.0,0.0,0,0.5
1779601660,0.0,0.0,0.0,0,0.5
1779610378,0.0,0.0,0.0,0,0.5
1779617312,0.0,0.0,0.0,0,0.5
1779622926,0.0,0.0,0.0,0,0.5
1779626796,0.0,0.0,0.0,0,0.5
1779632006,0.0,0.0,0.0,0,0.5
1779636128,0.0,0.0,0.0,0,0.5
1779640387,0.0,0.0,0.0,0,0.5
1779644405,0.0,0.0,0.0,0,0.5
1779648425,0.0,0.0,0.0,0,0.5
1779652370,0.0,0.0,0.0,0,0.5
1779655341,0.0,0.0,0.0,0,0.5
1779658726,0.0,0.0,0.0,0,0.5
1779662410,0.0,0.0,0.0,0,0.5
1779666172,0.0,0.0,0.0,0,0.5
1779673131,0.0,0.0,0.0,0,0.5
1779689450,0.0,0.0,0.0,0,0.5
1779706059,0.0,0.0,0.0,0,0.5
1779717350,0.0,0.0,0.0,0,0.5
1779725716,0.0,0.0,0.0,0,0.5
1779731838,0.0,0.0,0.0,0,0.5
1779736344,0.0,0.0,0.0,0,0.5
1779741812,0.0,0.0,0.0,0,0.5
1779745887,0.0,0.0,0.0,0,0.5
1779749386,0.0,0.0,0.0,0,0.5
1779753340,0.0,0.0,0.0,0,0.5
1779760264,0.0,0.0,0.0,0,0.5
1779775020,0.0,0.0,0.0,0,0.5
1779786152,0.0,0.0,0.0,0,0.5
1779812191,0.0,0.0,0.0,0,0.5
1779820751,0.0,0.0,0.0,0,0.5
1779827750,0.0,0.0,0.0,0,0.5
1779833537,0.0,0.0,0.0,0,0.5
1779837825,0.0,0.0,0.0,0,0.5
1779845607,0.0,0.0,0.0,0,0.5
1779861784,0.0,0.0,0.0,0,0.5
1779877191,0.0,0.0,0.0,0,0.5
1779890240,0.0,0.0,0.0,0,0.5
1779901109,0.0,0.0,0.0,0,0.5
1779909516,0.0,0.0,0.0,0,0.5
1779916749,0.0,0.0,0.0,0,0.5
1779922587,0.0,0.0,0.0,0,0.5
1779926103,0.0,0.0,0.0,0,0.5
1779931852,0.0,0.0,0.0,0,0.5
1779947274,0.0,0.0,0.0,0,0.5
1779961210,0.0,0.0,0.0,0,0.5
1779972945,0.0,0.0,0.0,0,0.5
1779986872,0.0,0.0,0.0,0,0.5
1779996756,0.0,0.0,0.0,0,0.5
1780004180,0.0,0.0,0.0,0,0.5
1780009370,0.0,0.0,0.0,0,0.5
1780014045,0.0,0.0,0.0,0,0.5
1780030330,0.0,0.0,0.0,0,0.5
