time,open,high,low,close,volume
1779522933,0.0,0.0,0.0,0,0.5
1779579124,0.0,0.0,0.0,0,0.5
1779579534,0.0,0.0,0.0,0,0.5
1779586441,0.0,0.0,0.0,0,0.5
1779601660,0.0,0.0,0.0,0,0.5
1779610378,0.0,0.0,0.0,0,0.5
1779617312,0.0,0.0,0.0,0,0.5
1779622926,0.0,0.0,0.0,0,0.5
1779626796,0.0,0.0,0.0,0,0.5
1779632006,0.0,0.0,0.0,0,0.5
1779636128,0.0,0.0,0.0,0,0.5
1779640387,0.0,0.0,0.0,0,0.5
1779644405,0.0,0.0,0.0,0,0.5
1779648425,0.0,0.0,0.0,0,0.5
1779652370,0.0,0.0,0.0,0,0.5
1779655341,0.0,0.0,0.0,0,0.5
1779658726,0.0,0.0,0.0,0,0.5
1779662410,0.0,0.0,0.0,0,0.5
1779666172,0.0,0.0,0.0,0,0.5
1779673131,0.0,0.0,0.0,0,0.5
1779689450,0.0,0.0,0.0,0,0.5
1779706059,0.0,0.0,0.0,0,0.5
1779717350,0.0,0.0,0.0,0,0.5
1779725716,0.0,0.0,0.0,0,0.5
1779731838,0.0,0.0,0.0,0,0.5
1779736344,0.0,0.0,0.0,0,0.5
1779741812,0.0,0.0,0.0,0,0.5
1779745887,0.0,0.0,0.0,0,0.5
1779749386,0.0,0.0,0.0,0,0.5
1779753340,0.0,0.0,0.0,0,0.5
1779760264,0.0,0.0,0.0,0,0.5
1779775020,0.0,0.0,0.0,0,0.5
1779786152,0.0,0.0,0.0,0,0.5
1779812191,0.0,0.0,0.0,0,0.5
1779820751,0.0,0.0,0.0,0,0.5
1779827750,0.0,0.0,0.0,0,0.5
1779833537,0.0,0.0,0.0,0,0.5
1779837825,0.0,0.0,0.0,0,0.5
1779845607,0.0,0.0,0.0,0,0.5
1779861784,0.0,0.0,0.0,0,0.5
1779877191,0.0,0.0,0.0,0,0.5
1779890240,0.0,0.0,0.0,0,0.5
1779901109,0.0,0.0,0.0,0,0.5
1779909516,0.0,0.0,0.0,0,0.5
1779916749,0.0,0.0,0.0,0,0.5
1779922587,0.0,0.0,0.0,0,0.5
1779926103,0.0,0.0,0.0,0,0.5
1779931852,0.0,0.0,0.0,0,0.5
1779947274,0.0,0.0,0.0,0,0.5
1779961210,0.0,0.0,0.0,0,0.5
1779972945,0.0,0.0,0.0,0,0.5
1779986872,0.0,0.0,0.0,0,0.5
1779996756,0.0,0.0,0.0,0,0.5
1780004180,0.0,0.0,0.0,0,0.5
1780009370,0.0,0.0,0.0,0,0.5
1780014045,0.0,0.0,0.0,0,0.5
1780030330,0.0,0.0,0.0,0,0.5
1780043853,0.0,0.0,0.0,0,0.5
1780055758,0.0,0.0,0.0,0,0.5
1780065180,0.0,0.0,0.0,0,0.5
1780077452,0.0,0.0,0.0,0,0.5
1780085074,0.0,0.0,0.0,0,0.5
1780092318,0.0,0.0,0.0,0,0.5
1780098158,0.0,0.0,0.0,0,0.5
1780104718,0.0,0.0,0.0,0,0.5
1780117937,0.0,0.0,0.0,0,0.5
1780127521,0.0,0.0,0.0,0,0.5
1780134556,0.0,0.0,0.0,0,0.5
1780139447,0.0,0.0,0.0,0,0.5
1780143372,0.0,0.0,0.0,0,0.5
1780149973,0.0,0.0,0.0,0,0.5
1780154656,0.0,0.0,0.0,0,0.5
1780158848,0.0,0.0,0.0,0,0.5
1780163080,0.0,0.0,0.0,0,0.5
1780166895,0.0,0.0,0.0,0,0.5
1780171334,0.0,0.0,0.0,0,0.5
1780174731,0.0,0.0,0.0,0,0.5
1780178051,0.0,0.0,0.0,0,0.5
1780181140,0.0,0.0,0.0,0,0.5
1780184648,0.0,0.0,0.0,0,0.5
1780192392,0.0,0.0,0.0,0,0.5
1780207664,0.0,0.0,0.0,0,0.5
1780219445,0.0,0.0,0.0,0,0.5
1780226071,0.0,0.0,0.0,0,0.5
1780230119,0.0,0.0,0.0,0,0.5
1780237061,0.0,0.0,0.0,0,0.5
1780242371,0.0,0.0,0.0,0,0.5
1780246074,0.0,0.0,0.0,0,0.5
1780249957,0.0,0.0,0.0,0,0.5
1780253969,0.0,0.0,0.0,0,0.5
1780257812,0.0,0.0,0.0,0,0.5
1780262177,0.0,0.0,0.0,0,0.5
1780265738,0.0,0.0,0.0,0,0.5
1780269558,0.0,0.0,0.0,0,0.5
1780277933,0.0,0.0,0.0,0,0.5
1780295658,0.0,0.0,0.0,0,0.5
1780316591,0.0,0.0,0.0,0,0.5
1780338154,0.0,0.0,0.0,0,0.5
1780350507,0.0,0.0,0.0,0,0.5
1780356108,0.0,0.0,0.0,0,0.5
1780364650,0.0,0.0,0.0,0,0.5
1780381338,0.0,0.0,0.0,0,0.5
1780398119,0.0,0.0,0.0,0,0.5
1780412089,0.0,0.0,0.0,0,0.5
1780425015,0.0,0.0,0.0,0,0.5
1780435889,0.0,0.0,0.0,0,0.5
1780442230,0.0,0.0,0.0,0,0.5
1780451348,0.0,0.0,0.0,0,0.5
1780468985,0.0,0.0,0.0,0,0.5
1780486380,0.0,0.0,0.0,0,0.5
1780502813,0.0,0.0,0.0,0,0.5
1780516738,0.0,0.0,0.0,0,0.5
1780525561,0.0,0.0,0.0,0,0.5
1780531883,0.0,0.0,0.0,0,0.5
1780549463,0.0,0.0,0.0,0,0.5
1780563655,0.0,0.0,0.0,0,0.5
1780573896,0.0,0.0,0.0,0,0.5
1780583185,0.0,0.0,0.0,0,0.5
1780594255,0.0,0.0,0.0,0,0.5
1780601867,0.0,0.0,0.0,0,0.5
1780607931,0.0,0.0,0.0,0,0.5
1780613535,0.0,0.0,0.0,0,0.5
1780617578,0.0,0.0,0.0,0,0.5
1780627431,0.0,0.0,0.0,0,0.5
1780642421,0.0,0.0,0.0,0,0.5
1780656042,0.0,0.0,0.0,0,0.5
1780666957,0.0,0.0,0.0,0,0.5
1780676310,0.0,0.0,0.0,0,0.5
1780683620,0.0,0.0,0.0,0,0.5
1780690910,0.0,0.0,0.0,0,0.5
1780696405,0.0,0.0,0.0,0,0.5
1780700123,0.0,0.0,0.0,0,0.5
1780703881,0.0,0.0,0.0,0,0.5
1780711097,0.0,0.0,0.0,0,0.5
1780724861,0.0,0.0,0.0,0,0.5
1780734038,0.0,0.0,0.0,0,0.5
1780741764,0.0,0.0,0.0,0,0.5
1780746780,0.0,0.0,0.0,0,0.5
1780750920,0.0,0.0,0.0,0,0.5
1780756998,0.0,0.0,0.0,0,0.5
1780761439,0.0,0.0,0.0,0,0.5
1780765012,0.0,0.0,0.0,0,0.5
1780768814,0.0,0.0,0.0,0,0.5
1780773219,0.0,0.0,0.0,0,0.5
1780777365,0.0,0.0,0.0,0,0.5
1780781724,0.0,0.0,0.0,0,0.5
1780785828,0.0,0.0,0.0,0,0.5
1780789438,0.0,0.0,0.0,0,0.5
1780797353,0.0,0.0,0.0,0,0.5
1780812735,0.0,0.0,0.0,0,0.5
1780824893,0.0,0.0,0.0,0,0.5
1780831567,0.0,0.0,0.0,0,0.5
1780837009,0.0,0.0,0.0,0,0.5
1780843586,0.0,0.0,0.0,0,0.5
1780848007,0.0,0.0,0.0,0,0.5
1780852257,0.0,0.0,0.0,0,0.5
1780856374,0.0,0.0,0.0,0,0.5
1780862039,0.0,0.0,0.0,0,0.5
1780865927,0.0,0.0,0.0,0,0.5
1780869605,0.0,0.0,0.0,0,0.5
1780873251,0.0,0.0,0.0,0,0.5
1780877121,0.0,0.0,0.0,0,0.5
1780894872,0.0,0.0,0.0,0,0.5
1780910600,0.0,0.0,0.0,0,0.5
1780926643,0.0,0.0,0.0,0,0.5
1780938133,0.0,0.0,0.0,0,0.5
1780946623,0.0,0.0,0.0,0,0.5
1780953691,0.0,0.0,0.0,0,0.5
1780959308,0.0,0.0,0.0,0,0.5
1780963067,0.0,0.0,0.0,0,0.5
1780969933,0.0,0.0,0.0,0,0.5
1780984681,0.0,0.0,0.0,0,0.5
1780995488,0.0,0.0,0.0,0,0.5
1781006054,0.0,0.0,0.0,0,0.5
1781014448,0.0,0.0,0.0,0,0.5
1781023668,0.0,0.0,0.0,0,0.5
1781032032,0.0,0.0,0.0,0,0.5
1781039335,0.0,0.0,0.0,0,0.5
1781045291,0.0,0.0,0.0,0,0.5
1781049887,0.0,0.0,0.0,0,0.5
1781066739,0.0,0.0,0.0,0,0.5
